vehicle_id,scenario,total_distance,average_passengers,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_out,utilization_rate,reported_time,idling_time,moving_time,pick_up,drop_off,revenue_trips,rebalance_trips
s1.145,1,284.9380833,3.385664866,0.036182004,0.0401179,0.089854919,0.169543577,0.664301599,0,0.963817996,56658,278,56380,340,340,340,13
s1.146,1,362.9168538,2.762081956,0.210730044,0.037083972,0.066368674,0.151008606,0.534808705,0,0.789269956,86803,14804,71999,459,459,459,12
s1.147,1,411.4409723,3.061050481,0.098725055,0.040532011,0.10293662,0.216580025,0.541226288,0,0.901274945,87141,4035,83106,486,486,486,32
s1.148,1,334.1985712,2.346037216,0.285619113,0.051906731,0.09827705,0.159212038,0.404985068,0,0.714380887,87060,20672,66388,383,383,383,18
s1.149,1,355.0991257,2.627386735,0.222308109,0.054270452,0.079825098,0.160919275,0.482677065,0,0.777691891,86677,16260,70417,422,422,422,13
s1.150,1,377.1041544,2.844573969,0.161220094,0.052503657,0.075426491,0.202181701,0.508668057,0,0.838779906,86813,12262,74551,478,478,478,11
s1.152,1,425.6914785,2.960767199,0.099965545,0.058286436,0.131273688,0.201963937,0.508510394,0,0.900034455,87070,2875,84195,452,452,452,30
s1.153,1,227.21557,1.737379774,0.497209287,0.031267266,0.035337761,0.109305761,0.326879926,0,0.502790713,88687,43668,45019,285,285,285,19
s1.154,1,329.2796748,2.888257896,0.1688831,0.047294041,0.067079127,0.160169326,0.556574406,0,0.8311169,76775,11587,65188,403,403,403,14
s1.155,1,390.250877,2.80633706,0.143236804,0.0606557,0.124518878,0.189710869,0.481877749,0,0.856763196,87296,9657,77639,451,451,451,21
s1.156,1,359.1457267,3.030620651,0.141050177,0.026704351,0.068427523,0.188210542,0.575607407,0,0.858949823,78901,7578,71323,444,444,444,3
s1.157,1,384.0646971,2.854648424,0.154736878,0.034497019,0.115334689,0.192243627,0.503187786,0,0.845263122,87051,10703,76348,467,467,467,8
s1.158,1,387.5698272,2.777101656,0.158591472,0.062722451,0.109612161,0.181140784,0.487933133,0,0.841408528,87098,9464,77634,408,408,408,19
s1.159,1,382.9267816,2.753247644,0.163736075,0.065112825,0.099605827,0.197257926,0.474287346,0,0.836263925,87525,11317,76208,426,426,426,25
s1.160,1,337.4059713,2.622342991,0.234204985,0.039559586,0.077319406,0.167519497,0.481396525,0,0.765795015,85011,18267,66744,349,349,349,8
s1.161,1,349.5995398,2.746978973,0.226972553,0.017839536,0.06664603,0.158320149,0.530221733,0,0.773027447,87222,17979,69243,458,458,458,16
s1.162,1,374.8136917,2.776849628,0.182256897,0.038687364,0.085578702,0.206903287,0.48657375,0,0.817743103,87031,12640,74391,439,439,439,23
s1.163,1,355.5374474,2.729956845,0.19917286,0.034056581,0.098777272,0.173627427,0.49436586,0,0.80082714,83420,12966,70454,402,402,402,23
s1.164,1,282.2990569,3.392267555,0.047228109,0.027727815,0.07064627,0.194344024,0.660053782,0,0.952771891,56153,250,55903,347,347,347,19
s1.165,1,330.8068172,3.10421951,0.078795023,0.06108442,0.083614336,0.230118469,0.546387753,0,0.921204977,67022,289,66733,417,417,417,29
s1.166,1,399.5947735,2.829534739,0.136323912,0.076562177,0.110197558,0.175087969,0.501828385,0,0.863676088,86962,6145,80817,443,443,443,27
s1.167,1,315.9765214,3.353580106,0.028313722,0.041112858,0.097549744,0.214726946,0.61829673,0,0.971686278,62973,364,62609,369,369,369,25
s1.169,1,367.1970819,2.743828437,0.190042753,0.055153312,0.069013469,0.192513676,0.493276789,0,0.809957247,87012,14207,72805,425,425,425,26
s1.170,1,127.2862591,0.805907173,0.748543845,0.024892222,0.03216153,0.060917722,0.133484682,0,0.251456155,87216,61760,25456,120,120,120,22
s1.171,1,25.27107437,2.073482428,0.033452359,0.377372674,0.184927645,0.290734824,0.113512498,0,0.966547641,5321,178,5143,10,10,10,24
s1.172,1,409.1305988,2.958630885,0.118444394,0.056947919,0.096201956,0.204343871,0.52406186,0,0.881555606,87940,6860,81080,468,468,468,16
s1.173,1,342.4895495,2.618669212,0.246549979,0.035995216,0.066159897,0.154825429,0.496469479,0,0.753450021,86956,19081,67875,463,463,463,21
s1.174,1,412.5448609,3.077075669,0.091399772,0.064504596,0.078240511,0.207330435,0.558524687,0,0.908600228,86707,4107,82600,481,481,481,17
s1.175,1,364.7512074,2.861114636,0.181154321,0.029555968,0.073313106,0.178973963,0.537002642,0,0.818845679,86683,14524,72159,437,437,437,12
s1.176,1,405.8650576,3.063333257,0.112129695,0.040088116,0.069517428,0.228848757,0.549416003,0,0.887870305,87158,3552,83606,474,474,474,23
s1.177,1,399.7140961,2.969781828,0.140899544,0.042727784,0.068756958,0.200922727,0.546692987,0,0.859100456,87133,6342,80791,484,484,484,25
s1.178,1,412.749116,2.99809189,0.094422537,0.063349254,0.106807905,0.220554393,0.514865912,0,0.905577463,86473,3892,82581,531,531,531,20
s1.179,1,412.303328,3.096558295,0.104881297,0.048640768,0.072691372,0.192611471,0.581175093,0,0.895118703,87108,4496,82612,487,487,487,23
s1.180,1,368.6633926,2.7348219,0.187366683,0.045562972,0.091538797,0.195944861,0.479586688,0,0.812633317,87198,13975,73223,435,435,435,17
