vehicle_id,timestamp,latitude,longitude,num_passengers,distance,duration
0,1381012276,40.76149,-73.96059,2,0.050008405,9
0,1381012286,40.76212,-73.96013,2,0.049752864,10
0,1381012295,40.76274,-73.9597,2,0.048399191,9
0,1381012305,40.76337,-73.95924,2,0.049752645,10
0,1381012315,40.76399,-73.95878,2,0.049148911,10
0,1381012325,40.76461,-73.95832,2,0.049148801,10
0,1381012334,40.76525,-73.95787,2,0.05011004,9
0,1381012344,40.76587,-73.95741,2,0.049148578,10
0,1381012354,40.76652,-73.95693,1,0.051468821,10
0,1381012363,40.76712,-73.9565,1,0.047179251,9
0,1381012374,40.7678,-73.956,1,0.053789122,11
0,1381012384,40.76848,-73.95551,1,0.053536298,10
0,1381012412,40.76948,-73.95787,1,0.141538482,28
0,1381012439,40.77042,-73.96011,2,0.134032415,27
0,1381012449,40.77105,-73.95965,2,0.049751298,10
0,1381012459,40.7717,-73.95918,2,0.051214441,10
0,1381012469,40.77234,-73.95871,2,0.050609263,10
0,1381012479,40.77297,-73.95825,2,0.049750962,10
0,1381012498,40.77364,-73.95986,2,0.096144263,19
0,1381012515,40.77427,-73.96133,2,0.088397916,17
0,1381012518,40.77436,-73.96157,2,0.014015975,3
0,1381012536,40.775,-73.96309,2,0.091017485,18
0,1381012546,40.77563,-73.96263,2,0.049750495,10
0,1381012557,40.77632,-73.96215,2,0.053896607,11
0,1381012594,40.777,-73.96375,3,0.096018561,37
0,1381012714,40.78204,-73.97173,4,0.543788067,120
0,1381012748,40.78324,-73.97454,4,0.168815904,34
0,1381012757,40.78263,-73.97499,4,0.048286827,9
0,1381012768,40.78195,-73.97548,4,0.053533682,11
0,1381012802,40.78315,-73.97833,4,0.17064234,34
0,1381012820,40.78382,-73.97991,4,0.094760225,18
0,1381012822,40.78389,-73.98008,4,0.010125932,2
0,1381012835,40.78435,-73.98117,4,0.065297417,13
0,1381012853,40.78498,-73.98266,4,0.08929937,18
0,1381012854,40.78503,-73.98279,4,0.007629737,1
0,1381012865,40.78541,-73.98369,4,0.053920792,11
0,1381012871,40.78564,-73.98427,4,0.034259492,6
0,1381012878,40.78595,-73.98457,4,0.026559116,7
0,1381012883,40.78566,-73.98473,4,0.021719786,5
0,1381012911,40.78368,-73.98542,4,0.141517497,28
0,1381013098,40.77193,-73.99423,3,0.933777977,187
0,1381013114,40.77081,-73.99467,2,0.080754231,16
0,1381013117,40.77071,-73.99441,2,0.015262076,3
0,1381013119,40.77064,-73.99422,2,0.011058407,2
0,1381013146,40.76964,-73.99189,3,0.140168446,27
0,1381013156,40.76901,-73.99234,4,0.049500386,10
0,1381013166,40.76839,-73.9928,4,0.04914802,10
0,1381013176,40.76774,-73.99326,4,0.050965698,10
0,1381013185,40.76713,-73.9937,4,0.048036392,9
0,1381013219,40.76594,-73.99087,4,0.16942306,34
0,1381013252,40.76474,-73.98803,4,0.17021882,33
0,1381013262,40.76411,-73.98849,4,0.049752405,10
0,1381013272,40.76349,-73.98894,3,0.048894593,10
0,1381013306,40.76229,-73.9861,3,0.170223606,34
0,1381013330,40.76143,-73.98405,4,0.12266605,24
0,1381013339,40.76109,-73.98325,4,0.048017743,9
0,1381013373,40.75991,-73.98042,3,0.169100468,34
0,1381013382,40.76052,-73.97997,3,0.048290755,9
0,1381013416,40.76172,-73.98281,3,0.170227063,34
0,1381013426,40.76206,-73.98363,3,0.048933066,10
0,1381013450,40.76292,-73.98565,4,0.121293854,24
0,1381013484,40.76411,-73.98849,4,0.169886772,34
0,1381013494,40.76349,-73.98894,4,0.048894593,10
0,1381013503,40.76286,-73.9894,4,0.049752624,9
0,1381013513,40.76223,-73.98986,4,0.049752734,10
0,1381013523,40.76161,-73.99032,4,0.049149224,10
0,1381013533,40.76099,-73.99077,4,0.04889502,10
0,1381013542,40.76036,-73.99123,4,0.049753062,9
0,1381013552,40.75973,-73.99168,4,0.049501951,10
0,1381013562,40.7591,-73.99214,4,0.049753283,10
0,1381013572,40.75843,-73.99263,4,0.052932462,10
0,1381013582,40.75783,-73.99307,4,0.047432632,10
0,1381013593,40.75714,-73.99357,4,0.054395824,11
0,1381013602,40.75653,-73.99402,3,0.048291339,9
0,1381013612,40.75591,-73.99447,3,0.048895887,10
0,1381013621,40.75529,-73.99493,3,0.049150345,9
0,1381013622,40.7552,-73.995,3,0.007218975,1
0,1381013631,40.75468,-73.99539,3,0.04133097,9
0,1381013640,40.75407,-73.99585,3,0.048549292,9
0,1381013650,40.75341,-73.99632,4,0.051824752,10
0,1381013660,40.75273,-73.9968,4,0.053290233,10
0,1381013680,40.7515,-73.99772,4,0.097700067,20
0,1381013687,40.75107,-73.99803,4,0.033859495,7
0,1381013689,40.7509,-73.99816,4,0.013577377,2
0,1381013724,40.74967,-73.9953,4,0.172177489,35
0,1381013758,40.74847,-73.99246,4,0.170250596,34
0,1381013767,40.74786,-73.99291,3,0.048292838,9
0,1381013776,40.74724,-73.99336,3,0.048897367,9
0,1381013810,40.74604,-73.99052,3,0.170255341,34
0,1381013831,40.74529,-73.98873,4,0.107097359,21
0,1381013842,40.74453,-73.98887,4,0.053031262,11
0,1381013852,40.7438,-73.98903,4,0.051139807,10
0,1381013862,40.74345,-73.98819,3,0.050193903,10
0,1381013872,40.74283,-73.98866,3,0.049411231,10
0,1381013878,40.7424,-73.98896,3,0.033612657,6
0,1381013881,40.74222,-73.9891,3,0.014438673,3
0,1381013891,40.74155,-73.9896,3,0.053191367,10
0,1381013901,40.74088,-73.99007,4,0.052436181,10
0,1381013911,40.74025,-73.99053,4,0.049756587,10
0,1381013920,40.73967,-73.99094,4,0.045469961,9
0,1381013929,40.73909,-73.99137,4,0.045973773,9
0,1381013988,40.74044,-73.99459,4,0.192696705,59
0,1381013997,40.74103,-73.99416,4,0.046577309,9
0,1381014035,40.73967,-73.99094,4,0.193030951,38
0,1381014049,40.73918,-73.98977,4,0.069999742,14
0,1381014059,40.73849,-73.98995,4,0.048607223,10
0,1381014068,40.7378,-73.99013,4,0.048607242,9
0,1381014086,40.73717,-73.98863,4,0.089805334,18
0,1381014087,40.73712,-73.98852,4,0.006716993,1
0,1381014106,40.73647,-73.98697,4,0.092766097,19
0,1381014125,40.73579,-73.98536,4,0.096520147,19
0,1381014134,40.7352,-73.98579,4,0.046578166,9
0,1381014143,40.73462,-73.98622,4,0.045974514,9
0,1381014160,40.73401,-73.98477,3,0.086848511,17
0,1381014169,40.7346,-73.98435,4,0.046327473,9
0,1381014186,40.7352,-73.98579,4,0.086055357,17
0,1381014195,40.73579,-73.98536,4,0.046578166,9
0,1381014204,40.73638,-73.98494,4,0.046327193,9
0,1381014213,40.73696,-73.98451,4,0.045974222,9
0,1381014240,40.73602,-73.98227,4,0.134084038,27
0,1381014268,40.73502,-73.97988,4,0.142965937,28
0,1381014277,40.73558,-73.97944,4,0.045040151,9
0,1381014286,40.73619,-73.979,4,0.048041633,9
0,1381014297,40.73687,-73.97851,4,0.053542141,11
0,1381014307,40.73755,-73.97805,4,0.052807203,10
0,1381014317,40.73817,-73.9776,4,0.048899021,10
0,1381014327,40.7388,-73.97715,4,0.049505587,10
0,1381014346,40.74004,-73.97625,4,0.09779751,19
0,1381014348,40.74018,-73.97614,4,0.011259825,2
0,1381014356,40.74064,-73.9758,4,0.036435325,8
0,1381014365,40.74127,-73.97534,4,0.049756519,9
0,1381014394,40.74309,-73.97401,4,0.143768606,29
0,1381014405,40.74378,-73.97351,3,0.054398486,11
0,1381014415,40.74445,-73.97302,3,0.052935201,10
0,1381014425,40.74507,-73.97257,3,0.048897843,10
0,1381014434,40.74568,-73.97212,3,0.04829332,9
0,1381014452,40.74632,-73.97364,3,0.09104749,18
0,1381014462,40.74694,-73.97319,2,0.048897524,10
0,1381014471,40.74632,-73.97364,2,0.048897524,9
0,1381014481,40.74668,-73.97447,3,0.05007386,10
0,1381014495,40.74719,-73.97567,3,0.072038418,14
0,1381014497,40.74729,-73.97583,4,0.010859705,2
0,1381014499,40.74737,-73.97605,4,0.012776461,2
0,1381014501,40.74741,-73.9762,4,0.008325707,2
0,1381014507,40.74761,-73.9767,4,0.029602752,6
0,1381014526,40.74829,-73.97834,4,0.097881922,19
0,1381014545,40.74895,-73.97986,4,0.091724157,19
0,1381014547,40.74903,-73.98005,4,0.011380545,2
0,1381014565,40.74967,-73.98157,4,0.091043986,18
0,1381014584,40.75034,-73.98318,4,0.096170155,19
0,1381014623,40.7517,-73.9864,4,0.193007326,39
0,1381014636,40.75218,-73.98752,4,0.067367693,13
0,1381014657,40.7529,-73.98924,4,0.102878632,21
0,1381014666,40.75229,-73.98969,3,0.048292072,9
0,1381014676,40.75166,-73.99013,3,0.04925632,10
0,1381014686,40.75101,-73.99061,4,0.051471563,10
0,1381014697,40.75031,-73.99112,4,0.055254998,11
0,1381014706,40.74971,-73.99156,4,0.047433998,9
0,1381014715,40.7491,-73.99201,4,0.048292623,9
0,1381014725,40.74847,-73.99246,4,0.04950385,10
0,1381014734,40.74786,-73.99291,4,0.048292838,9
0,1381014744,40.74724,-73.99336,4,0.048897367,10
0,1381014754,40.74662,-73.99381,4,0.048897473,10
0,1381014763,40.746,-73.99426,4,0.048897579,9
0,1381014772,40.74538,-73.99471,4,0.048897685,9
0,1381014782,40.74477,-73.99516,4,0.048293372,10
0,1381014792,40.7441,-73.99564,4,0.052683372,10
0,1381014803,40.74343,-73.99613,4,0.052935267,11
0,1381014812,40.74281,-73.99658,4,0.048898123,9
0,1381014824,40.74223,-73.99701,4,0.045973252,12
0,1381014833,40.74164,-73.99743,4,0.046326275,9
0,1381014842,40.74106,-73.99786,4,0.045973446,9
0,1381014851,40.74047,-73.99829,4,0.046577304,9
0,1381014860,40.73988,-73.99871,4,0.046326551,9
0,1381014870,40.73924,-73.99918,4,0.050615103,10
0,1381014881,40.73855,-73.99968,4,0.054399346,11
0,1381014891,40.73786,-74.00017,4,0.054149406,10
0,1381014901,40.73722,-74.00063,4,0.050362935,10
0,1381014911,40.73656,-74.0011,4,0.051827713,10
0,1381014920,40.73644,-74.00195,4,0.045275862,9
0,1381014937,40.7362,-74.00353,3,0.084382352,17
0,1381014946,40.73684,-74.00371,4,0.04522243,9
0,1381014963,40.73707,-74.00214,4,0.083734284,17
0,1381014970,40.73717,-74.00146,4,0.036272015,7
0,1381014977,40.73766,-74.00176,4,0.037329362,7
0,1381014990,40.73722,-74.00063,4,0.066527026,13
0,1381015024,40.73603,-73.9978,4,0.169481331,34
0,1381015063,40.73467,-73.99459,4,0.192584791,39
0,1381015084,40.73392,-73.99279,4,0.107569948,21
0,1381015104,40.73321,-73.99111,4,0.10073427,20
0,1381015115,40.73245,-73.99129,4,0.053361375,11
0,1381015124,40.73174,-73.99146,4,0.049867907,9
0,1381015137,40.73128,-73.99035,4,0.066253862,13
0,1381015153,40.73072,-73.98905,4,0.078310687,16
0,1381015162,40.73013,-73.98949,4,0.046834421,9
0,1381015166,40.72986,-73.98968,4,0.021146477,4
0,1381015170,40.72956,-73.9899,4,0.023718706,4
0,1381015180,40.72894,-73.99034,4,0.048650267,10
0,1381015189,40.72836,-73.99078,4,0.046234325,9
0,1381015195,40.72812,-73.99023,4,0.033238079,6
0,1381015216,40.72741,-73.98853,4,0.101657039,21
0,1381015225,40.7268,-73.98898,3,0.048296477,9
0,1381015235,40.72619,-73.98943,4,0.048296583,10
0,1381015244,40.72558,-73.98987,4,0.048043294,9
0,1381015254,40.72494,-73.99034,4,0.050617676,10
0,1381015264,40.72429,-73.99083,4,0.051734289,10
0,1381015266,40.72419,-73.9909,4,0.007823069,2
0,1381015272,40.7238,-73.99123,4,0.032017841,6
0,1381015287,40.7242,-73.99253,4,0.07348438,15
0,1381015288,40.72424,-73.99266,4,0.007348417,1
0,1381015297,40.72451,-73.99343,4,0.044435564,9
0,1381015305,40.72476,-73.99414,4,0.041003123,8
0,1381015313,40.72502,-73.99487,4,0.042244542,8
0,1381015317,40.72515,-73.99527,4,0.022794555,4
0,1381015323,40.72528,-73.9958,4,0.029175609,6
0,1381015333,40.7255,-73.99671,4,0.050026037,10
0,1381015343,40.72587,-73.99757,4,0.051792904,10
0,1381015345,40.72575,-73.99767,4,0.009808306,2
0,1381015363,40.72463,-73.99859,4,0.091173465,18
0,1381015382,40.72342,-73.99961,4,0.099228796,19
0,1381015402,40.72218,-74.00066,4,0.101822601,20
0,1381015417,40.72125,-74.00145,4,0.076438115,15
0,1381015432,40.72034,-74.00222,4,0.074709342,15
0,1381015439,40.71992,-74.00259,4,0.034900535,7
0,1381015448,40.72039,-74.00325,4,0.047434469,9
0,1381015457,40.71992,-74.00259,4,0.047434469,9
0,1381015467,40.71941,-74.00188,4,0.051236596,10
0,1381015471,40.71915,-74.00209,4,0.021067525,4
0,1381015480,40.71864,-74.00253,4,0.04211133,9
0,1381015490,40.71803,-74.00304,4,0.049907157,10
0,1381015499,40.71745,-74.00353,4,0.047595841,9
0,1381015509,40.71687,-74.00403,4,0.047880451,10
0,1381015518,40.71629,-74.00453,4,0.047880576,9
0,1381015526,40.71576,-74.00498,4,0.043556501,8
0,1381015540,40.7163,-74.00616,4,0.072201403,14
0,1381015546,40.71654,-74.00668,4,0.031890308,6
0,1381015562,40.71712,-74.00796,4,0.078114376,16
0,1381015570,40.7166,-74.00837,4,0.041864367,8
0,1381015579,40.71602,-74.00882,4,0.046499772,9
0,1381015584,40.71619,-74.0092,4,0.023113184,5
0,1381015603,40.71691,-74.01077,4,0.096118559,19
0,1381015612,40.7163,-74.01092,4,0.042881943,9
0,1381015634,40.71714,-74.01276,3,0.112511797,22
0,1381015656,40.7163,-74.01092,3,0.112511797,22
0,1381015677,40.71552,-74.00922,3,0.104091827,21
0,1381015692,40.71494,-74.00795,4,0.077666627,15
0,1381015700,40.71544,-74.00755,4,0.040410325,8
0,1381015709,40.71601,-74.0071,4,0.045905503,9
0,1381015717,40.71654,-74.00668,4,0.042726497,8
0,1381015726,40.71708,-74.00625,4,0.043588641,9
0,1381015735,40.71768,-74.00579,4,0.04795717,9
0,1381015739,40.71795,-74.00559,4,0.021398825,4
0,1381015745,40.7183,-74.00536,4,0.02702198,6
0,1381015755,40.71902,-74.00517,4,0.050743368,10
0,1381015766,40.71986,-74.00519,4,0.058060332,11
0,1381015776,40.72064,-74.00522,4,0.053927286,10
0,1381015788,40.72137,-74.00462,4,0.059436494,12
0,1381015805,40.72238,-74.00377,4,0.082788524,17
